miRNA	lncRNA
hsa-miR-18a-3p	GAS8-AS1
hsa-miR-762	MUC2
hsa-miR-5088-5p	MUC2
hsa-miR-1225-3p	CTC-265F19.1
hsa-miR-140-3p	RP11-326C3.10
hsa-miR-512-3p	RP11-717I24.1
hsa-miR-627-5p	AC093063.3
hsa-miR-1976	RP13-580B18.4
hsa-miR-1273f	LINC01106
hsa-miR-6089	RP11-638I8.1
hsa-miR-342-3p	CTD-3138B18.5
hsa-miR-1224-5p	CTD-2619J13.14
hsa-miR-1238-3p	LINC00969
hsa-miR-376c-3p	DPP10-AS2
hsa-miR-1224-3p	RP11-54O7.17
hsa-miR-656-3p	RP11-429B14.4
hsa-miR-762	RP11-394A14.2
hsa-miR-92a-1-5p	RP11-13K12.1
hsa-miR-423-5p	RP11-627G23.1
hsa-miR-140-3p	RP11-210M15.1
hsa-miR-122-5p	RP11-627G23.1
hsa-miR-582-3p	GAS6-AS1
hsa-miR-6089	LINC00265
hsa-miR-508-5p	MUC19
hsa-miR-1225-3p	LINC01123
hsa-miR-1236-3p	RP11-717I24.1
hsa-miR-7-5p	RP11-932O9.4
hsa-miR-766-3p	MUC19
hsa-miR-377-3p	CTD-3138B18.5
hsa-miR-328-3p	RP11-54O7.17
hsa-miR-1324	RP4-737E23.2
hsa-miR-129-5p	RP11-166B2.5
hsa-miR-193a-3p	LINC00969
hsa-miR-582-3p	LINC00969
hsa-miR-491-5p	GAS6-AS1
hsa-miR-1228-5p	MLLT4-AS1
hsa-miR-877-3p	LINC00689
hsa-miR-1972	LINC01001
hsa-miR-541-3p	AC011284.3
hsa-miR-1238-3p	LINC00940
hsa-miR-5088-5p	AP001476.4
hsa-miR-544a	RP11-774O3.3
hsa-miR-1224-5p	AC011718.2
hsa-miR-622	RP13-507P19.2
hsa-miR-361-3p	RP13-507P19.2
hsa-miR-1206	LINC01128
hsa-miR-22-3p	RP11-326C3.14
hsa-miR-592	HPVC1
hsa-miR-149-3p	CTA-941F9.10
hsa-miR-542-5p	RP13-507P19.2
hsa-miR-452-3p	VIPR1-AS1
hsa-miR-450b-5p	CTC-265F19.1
hsa-miR-149-5p	RP11-394A14.2
hsa-miR-766-3p	CTD-2008P7.3
hsa-miR-30b-3p	MUC2
hsa-miR-324-5p	LINC01043
hsa-miR-338-3p	CTD-2292P10.2
hsa-miR-342-3p	RP11-210M15.1
hsa-miR-1972	LINC00174
hsa-miR-363-5p	MUC2
hsa-miR-92b-5p	AC004156.3
hsa-miR-625-5p	AATBC
hsa-miR-483-3p	MUC19
hsa-miR-483-3p	CTD-2281E23.3
hsa-miR-1207-5p	LINC00265
hsa-miR-1470	AC009133.24
hsa-miR-1207-5p	RP11-333E1.2
hsa-miR-28-5p	CTD-2619J13.14
hsa-miR-642a-5p	AC137934.1
hsa-miR-377-3p	RP11-210M15.1
hsa-miR-6087	AIRN
hsa-miR-612	RP11-1260E13.1
hsa-miR-766-3p	RP13-580B18.4
hsa-miR-1224-3p	LINC00685
hsa-miR-143-5p	LA16c-306A4.2
hsa-miR-1234-3p	LINC00174
hsa-miR-558	RP11-458F8.4
hsa-miR-625-5p	RP3-470B24.5
hsa-miR-92b-5p	RP11-830F9.6
hsa-miR-184	RP11-830F9.6
hsa-miR-150-5p	LINC01165
hsa-miR-193a-5p	HCG22
hsa-miR-198	RP11-32B5.8
hsa-miR-149-3p	AIRN
hsa-miR-622	CTC-459F4.1
hsa-miR-338-3p	LINC01165
hsa-let-7a-3p	FAM230B
hsa-miR-181a-2-3p	RP3-470B24.5
hsa-miR-217	RP3-470B24.5
hsa-miR-1184	RP3-470B24.5
hsa-miR-188-3p	AC084219.4
hsa-miR-766-3p	AC078942.1
hsa-miR-505-5p	CTB-51J22.1
hsa-miR-224-3p	MLLT4-AS1
hsa-miR-184	MLLT4-AS1
hsa-miR-335-3p	SLC8A1-AS1
hsa-miR-499a-3p	RP11-210M15.1
hsa-miR-28-5p	RP5-991B18.1
hsa-miR-342-5p	RP11-46C24.3
hsa-miR-181a-2-3p	FLJ16779
hsa-miR-6089	RP11-458F8.4
hsa-miR-875-3p	PCBP3-OT1
hsa-miR-323b-5p	MUC2
hsa-miR-146b-3p	CTD-2517M22.17
hsa-miR-132-5p	FAM230B
hsa-miR-181c-3p	RP11-627G23.1
hsa-miR-665	CTB-51J22.1
hsa-miR-939-5p	HP09025
hsa-miR-558	RP11-384K6.6
hsa-miR-1976	AC010761.6
hsa-miR-302a-3p	RP4-539M6.22
hsa-miR-942-5p	FAM74A1
hsa-let-7a-5p	RP11-94C24.13
hsa-miR-486-3p	RP11-94C24.13
hsa-miR-642a-5p	RP11-431K24.1
hsa-miR-1207-5p	AP001476.4
hsa-miR-1207-5p	RP4-539M6.22
hsa-miR-1234-3p	LINC01001
hsa-miR-148a-3p	RP11-717I24.1
hsa-miR-1208	RP11-431K24.1
